ENSG00000140718.17 1.86216232991	TCGA-UCEC TCGA-AP-A0L8-01A
ENSG00000140718.17 2.94951185728	TCGA-STAD TCGA-CG-4442-01A
ENSG00000140718.17 2.82490635958	TCGA-SKCM TCGA-GN-A4U8-11A
ENSG00000140718.17 4.46151487482	TCGA-PRAD TCGA-G9-6365-01A
ENSG00000140718.17 4.76545315894	TCGA-MESO TCGA-XT-AASU-01A
ENSG00000140718.17 3.98770619327	TCGA-HNSC TCGA-CV-A461-01A
ENSG00000140718.17 5.43754625634	TCGA-KIRP TCGA-UZ-A9PN-01A
ENSG00000140718.17 7.13195921299	TARGET-NBL TARGET-30-PASJZC-01A
ENSG00000140718.17 6.01805089323	TCGA-THCA TCGA-EM-A1CV-11A
ENSG00000140718.17 5.0629032493	TCGA-LUSC TCGA-68-8250-01A
ENSG00000140718.17 4.06884974808	TCGA-UCEC TCGA-E6-A2P9-01A
ENSG00000140718.17 0.44601791403	TARGET-AML TARGET-20-PAKLPD-09A
ENSG00000140718.17 3.55074599699	TCGA-PAAD TCGA-HV-AA8V-01A
ENSG00000140718.17 3.81145904582	TCGA-KIRC TCGA-B0-4837-01A
ENSG00000140718.17 4.72210181571	TCGA-KICH TCGA-KL-8336-11A
ENSG00000140718.17 3.76140522782	TCGA-LUAD TCGA-55-8614-01A
ENSG00000140718.17 2.98103308883	TCGA-STAD TCGA-CG-4465-01A
ENSG00000140718.17 4.86638719618	TCGA-THCA TCGA-EL-A3T1-11A
ENSG00000140718.17 2.12560940317	TCGA-CESC TCGA-VS-A9UJ-01A
ENSG00000140718.17 4.3658158857	TCGA-LAML TCGA-AB-2914-03A
ENSG00000140718.17 5.31264717062	TCGA-THCA TCGA-EL-A3TB-11A
ENSG00000140718.17 2.9017777303	TCGA-OV TCGA-29-1766-01A
ENSG00000140718.17 1.67343942725	TCGA-LUSC TCGA-37-3783-01A
ENSG00000140718.17 3.18300036611	TCGA-PAAD TCGA-HZ-8003-01A
ENSG00000140718.17 3.54077838657	TCGA-LIHC TCGA-G3-A7M6-01A
ENSG00000140718.17 3.43460991246	TCGA-LUSC TCGA-33-AAS8-01A
ENSG00000140718.17 2.52402505444	TCGA-THCA TCGA-EM-A1YB-01A
ENSG00000140718.17 6.90271454071	TCGA-KIRC TCGA-B8-5552-11A
ENSG00000140718.17 1.41048697544	TCGA-LIHC TCGA-ED-A66X-01A
ENSG00000140718.17 9.66576986395	TCGA-KIRC TCGA-B0-5075-01A
ENSG00000140718.17 2.49091067284	TARGET-AML TARGET-20-PANGDN-09A
ENSG00000140718.17 5.06181905217	TCGA-THYM TCGA-X7-A8M0-01A
ENSG00000140718.17 9.07605422194	TCGA-TGCT TCGA-2G-AAH2-01A
ENSG00000140718.17 4.50875145772	TCGA-PRAD TCGA-HC-8257-01A
ENSG00000140718.17 2.85335257621	TCGA-STAD TCGA-VQ-A92D-01A
ENSG00000140718.17 4.56934930928	TCGA-ESCA TCGA-V5-AASX-11A
ENSG00000140718.17 3.80742154894	TCGA-LAML TCGA-AB-2845-03B
